"photonchargeMean";"arrivalTimeMean";"phChargeShower_mean";"phChargeShower_kurtosis";"phChargeShower_variance";"phChargeShower_skewness";"arrTimeShower_mean";"arrTimeShower_kurtosis";"arrTimeShower_variance";"arrTimeShower_skewness";"numPixelInShower";"Size";"Length";"Width";"numIslands";"Delta";"COGx";"COGy";"M3Long";"M3Trans";"M4Long";"M4Trans";"Disp";"Concentration_onePixel";"Concentration_twoPixel";"ConcCore";"concCOG";"Slope_long";"Slope_trans";"Timespread";"Timespread_weighted";"Alpha";"Distance";"CosDeltaAlpha";"Theta";"ID";"confidence(proton)";"confidence(gamma)";"prediction(label)"
0.9005387;57.79474;11.04538;-0.578734;15.50988;0.7197535;61.135;6.934655;0.3423822;2.306438;15.0;165.6807;9.78283;7.95456;1.0;0.6854168;69.97644;2.232293;-0.03622955;0.1974139;1.963282;2.147012;22.04129;0.111674;0.2131671;0.3755754;0.2740824;-0.01829887;0.02855848;0.5652935;0.4367469;0.653527;70.01203;0.7939443;88.53171;0.0;0.7015221007944397;0.29847789920556034;"proton"
0.7535931;57.55726;8.328719;0.3272303;7.17274;0.9547567;61.10428;1.169718;0.2975962;1.177415;13.0;108.2733;13.86826;6.972412;1.0;0.03246729;57.71196;9.486545;-0.06067381;-0.6494611;1.87538;2.447101;58.64445;0.1277254;0.2460959;0.3653796;0.2678245;-0.02998445;0.00747728;0.5241223;0.4596851;-0.1304532;58.48645;0.991503;116.8818;1.0;0.11383192986209345;0.8861680701379065;"gamma"
0.8863542;58.0733;8.288033;1.482662;8.574302;1.154954;61.30922;-1.212057;0.1517278;0.1745847;22.0;182.3367;19.49621;6.72654;1.0;-0.7780062;109.9223;81.29896;-0.0560576;0.2757062;1.783161;2.119774;77.24859;0.08881364;0.164625;0.3025484;0.1379234;-0.006790413;0.009124216;0.3805668;0.3727535;-1.414821;136.7203;0.155344;167.1559;2.0;0.953277520642841;0.04672247935715908;"proton"
0.8733006;58.49747;7.643206;3.235551;5.852603;1.604772;64.80994;-0.4972348;4.188128;0.02635391;21.0;160.5073;20.18739;7.041543;1.0;-0.3140431;100.1828;-62.39774;-0.177775;-0.2872933;2.148992;2.449898;76.80147;0.09341295;0.1659208;0.3577498;0.1561785;0.09229192;0.03355335;1.997171;1.97529;0.2430005;118.0258;0.9706204;193.4555;3.0;0.8010743710124989;0.19892562898750107;"proton"
0.9431348;58.81316;10.72276;1.903416;35.94974;1.51454;61.92275;4.483697;0.1607843;0.5259378;27.0;289.5145;18.61659;7.348352;1.0;-0.3487261;1.144139;22.63245;-0.2009283;0.01042149;2.976187;2.578773;71.38666;0.09402877;0.1832906;0.4238891;0.2477977;0.009331514;0.005269408;0.3934835;0.3343341;1.27258;22.66135;-0.2938155;68.25665;4.0;0.8625389321438361;0.13746106785616394;"proton"
0.8168494;58.10759;8.042884;0.5609651;6.663451;0.5568083;60.63384;0.6259094;0.4306725;0.2324392;11.0;88.47172;16.57844;4.637582;1.0;-1.466125;22.92725;137.6728;-0.09180695;-0.04704472;1.943253;2.720744;84.94797;0.1516603;0.2671273;0.4373746;0.3291826;-0.02570047;0.007759953;0.625716;0.6158024;0.2696912;139.5688;-0.9638532;61.9722;5.0;0.8180908388659109;0.18190916113408903;"proton"
0.7299465;57.06478;8.309429;-1.052685;5.557704;0.6997727;61.17095;-1.336366;0.1938376;0.4525764;14.0;116.332;13.70154;6.056861;1.0;-0.9056848;-47.09574;48.19311;0.2632089;-0.3940347;2.344079;2.717948;65.80379;0.1070487;0.205512;0.3636395;0.2662342;0.02000434;-0.002477358;0.4242547;0.4094782;-0.108771;67.38386;-0.9940903;132.9907;6.0;0.06535145126802881;0.9346485487319711;"gamma"
0.8860277;57.24452;8.467008;2.385727;6.574352;1.099644;60.28469;-0.1266318;0.8072583;-0.07665378;13.0;110.0711;11.76933;7.847187;1.0;-0.5996304;-117.5111;-60.1438;0.09432351;0.3953386;2.177158;1.973858;39.30362;0.1349147;0.2293549;0.3556541;0.2207395;-0.03046605;-0.01863999;0.8632274;0.8408358;-1.072684;132.0081;-0.4777677;154.6887;7.0;0.9632692673286953;0.03673073267130457;"proton"
0.9894475;58.33494;10.42547;-0.7064384;23.43119;0.5814662;66.62859;4.117402;7.816999;-1.840831;34.0;354.466;21.15614;9.362053;1.0;-0.7440544;-13.78247;123.5522;-0.3974433;-0.005284241;2.341639;2.668414;65.74899;0.05906227;0.1156143;0.3715299;0.144468;0.07256852;-0.06723565;2.754467;2.713626;0.7156494;124.3185;-0.7546673;86.26124;8.0;0.9539151999759902;0.04608480002400986;"proton"
0.9113628;58.44706;8.627513;1.539038;13.26504;1.234829;60.8614;0.1691348;1.133279;-0.07791893;30.0;258.8254;24.31837;7.783646;1.0;1.398986;114.837;-23.47939;0.4064849;0.04520628;2.06599;2.590949;80.19062;0.07620948;0.1367577;0.3602254;0.1027144;0.02200724;-0.01109147;1.046663;0.9706758;-1.540928;117.2127;-0.02986356;143.9818;9.0;0.9672223196628333;0.03277768033716669;"proton"
